img1001,3,187,816,15,19
img1001,3,100,475,20,12
img1001,3,78,546,19,13
img1001,3,99,485,21,9
img1001,3,94,504,22,10
img1001,3,96,493,23,10
img1001,3,106,455,27,16
img1001,3,843,321,11,20
img1001,3,84,533,18,11
img1001,3,1143,564,26,15
img1001,3,853,321,8,20
img1001,3,1191,549,14,21
img1001,3,1196,537,22,18
img1001,2,1499,1059,17,19
img1001,0,1704,68,21,23
img1001,3,861,322,12,19
img1001,0,1164,539,24,35
img1001,1,936,384,30,61
img1001,0,1750,40,30,31
img1001,0,896,534,29,54
img1001,0,857,369,54,19
img1001,1,1216,528,25,39
img1001,1,226,363,59,22
img1001,0,142,356,30,36
img1001,0,846,466,23,41
img1001,0,1727,45,34,32
img1001,0,742,396,44,32
img1001,1,1137,525,26,40
img1001,0,909,407,24,41
img1001,0,372,811,36,65
img1001,0,1051,530,30,58
img1001,0,1108,517,28,57
img1001,0,1075,628,69,33
img1001,0,1129,657,58,29
img1001,0,807,405,27,48
img1001,0,674,400,56,24
img1001,0,1766,34,33,35
img1001,1,440,317,77,32
img1001,0,410,805,37,65
img1001,0,1079,524,27,56
img1001,0,444,345,57,23
img1001,0,57,568,36,56
img1001,0,854,520,41,56
img1001,0,476,473,26,40
img1001,0,291,812,39,64
img1001,0,1752,203,39,37
img1001,0,1241,1,30,31
img1001,0,1381,545,56,35
img1001,0,236,821,43,69
img1001,0,1798,21,38,40
img1001,0,1828,334,43,52
img1001,0,629,850,64,36
img1002,0,270,1065,78,13
img1002,2,968,637,11,15
img1002,3,931,784,13,23
img1002,1,598,1064,87,15
img1002,2,933,785,10,12
img1002,3,967,635,13,23
img1002,3,848,767,19,17
img1002,3,926,416,10,21
img1002,3,920,790,9,21
img1002,3,892,192,17,9
img1002,3,937,816,10,20
img1002,3,892,200,18,10
img1002,3,1355,1050,26,17
img1002,2,1062,948,11,12
img1002,3,892,72,15,10
img1002,3,349,669,24,12
img1002,3,890,25,17,10
img1002,3,890,38,17,9
img1002,3,891,63,16,10
img1002,0,958,683,27,52
img1002,0,436,1065,72,14
img1002,3,892,81,16,10
img1002,3,893,208,17,10
img1002,3,835,849,21,8
img1002,3,836,829,24,10
img1002,0,1,60,27,19
img1002,3,834,818,21,10
img1002,3,835,841,23,8
img1002,0,1023,290,15,35
img1002,3,890,47,18,10
img1002,3,835,728,23,11
img1002,3,890,13,19,11
img1002,0,693,1065,67,14
img1002,3,836,861,20,9
img1002,0,67,155,27,20
img1002,0,1024,326,15,37
img1002,3,328,934,17,27
img1002,3,836,779,23,14
img1002,0,1001,19,19,29
img1002,0,1007,88,19,31
img1002,0,1003,52,21,33
img1002,0,1048,626,26,49
img1002,1,896,619,24,48
img1002,1,1017,452,27,51
img1002,0,1029,402,24,42
img1002,0,902,721,24,61
img1002,0,251,935,62,29
img1002,1,506,834,36,67
img1002,0,557,720,45,39
img1002,0,994,611,26,50
img1002,1,567,837,37,68
img1002,0,1330,903,66,33
img1002,0,608,841,29,57
img1002,0,998,832,33,57
img1002,0,960,760,26,58
img1002,0,654,929,65,31
img1002,0,811,880,52,66
img1003,0,1302,156,61,35
img1003,0,1394,251,82,33
img1003,0,981,655,33,74
img1003,0,866,219,31,64
img1003,0,821,247,35,73
img1003,0,1062,344,71,31
img1003,0,868,834,35,73
img1003,0,774,242,32,74
img1003,0,1100,723,74,32
img1003,0,1276,23,71,36
img1003,0,820,865,33,72
img1003,0,1196,711,74,37
